0,1,2,3,4,5,6,7
0.2416,0.2976,0.3192,0.2648,0.2216,0.292,0.256,0.276
0.3592,0.3264,0.3008,0.328,0.3096,0.3064,0.292,0.2592
0.3728,0.3664,0.3024,0.3984,0.3336,0.304,0.3048,0.3208
0.3832,0.376,0.3912,0.384,0.336,0.364,0.3096,0.3536
0.4024,0.3856,0.344,0.412,0.3776,0.3544,0.328,0.3264
0.4272,0.4152,0.3648,0.4448,0.3936,0.376,0.4136,0.3872
0.444,0.4712,0.4,0.4152,0.4096,0.4448,0.4128,0.3848
0.4296,0.4824,0.408,0.4736,0.4264,0.4272,0.4176,0.416
0.4888,0.4832,0.4192,0.4704,0.4256,0.4432,0.4624,0.3856
0.5024,0.4976,0.4784,0.4976,0.4496,0.4256,0.4656,0.4376
0.4328,0.5168,0.4912,0.4992,0.4312,0.4688,0.4552,0.4512
0.5032,0.5336,0.5216,0.4696,0.4024,0.5272,0.4664,0.5104
0.5008,0.5296,0.4992,0.5144,0.4992,0.4792,0.4712,0.5208
0.5392,0.5264,0.4688,0.504,0.5032,0.504,0.4576,0.4856
0.5456,0.5304,0.4888,0.5624,0.4744,0.5544,0.536,0.5424
0.5064,0.5336,0.5408,0.5528,0.5384,0.504,0.544,0.5456
0.5344,0.5776,0.5416,0.556,0.5416,0.5224,0.5168,0.5448
0.5656,0.6064,0.5616,0.5936,0.576,0.5504,0.5344,0.5544
0.5624,0.576,0.56,0.5784,0.548,0.5224,0.556,0.564
0.5776,0.5624,0.584,0.58,0.5536,0.56,0.5776,0.536
0.5424,0.6,0.6048,0.6136,0.5736,0.6128,0.528,0.54
0.5824,0.6128,0.6008,0.6024,0.588,0.6072,0.5808,0.5528
0.5248,0.6184,0.6048,0.5944,0.612,0.5992,0.5624,0.576
0.604,0.6328,0.6024,0.6176,0.612,0.5816,0.6184,0.5792
0.6152,0.5624,0.6248,0.6224,0.5912,0.588,0.58,0.5736
0.624,0.6344,0.6024,0.6016,0.604,0.5704,0.5984,0.6144
0.6064,0.6016,0.6296,0.6,0.6296,0.5952,0.6248,0.588
0.5968,0.5976,0.604,0.6152,0.624,0.6048,0.6192,0.6184
0.6176,0.6184,0.5896,0.628,0.6552,0.5896,0.604,0.6016
0.6224,0.6248,0.6256,0.6392,0.6432,0.5984,0.652,0.6368
0.6136,0.6312,0.6216,0.6592,0.6432,0.6224,0.6344,0.6512
0.6184,0.6464,0.6304,0.6656,0.6528,0.612,0.6216,0.6144
0.604,0.6352,0.6528,0.6504,0.64,0.6136,0.6464,0.6552
0.6504,0.6376,0.6568,0.6352,0.6208,0.6296,0.66,0.6552
0.6144,0.6496,0.6304,0.6344,0.6408,0.5936,0.6432,0.6472
0.6184,0.6664,0.5992,0.6264,0.6512,0.592,0.636,0.6256
0.6272,0.6592,0.656,0.6424,0.6472,0.6336,0.6424,0.6616
0.6592,0.6448,0.6528,0.6584,0.6736,0.6216,0.6176,0.6272
0.6352,0.6728,0.6752,0.6664,0.6592,0.62,0.6792,0.6616
0.6528,0.6344,0.6368,0.6416,0.6784,0.6288,0.6464,0.6344
0.6328,0.6664,0.644,0.6448,0.6552,0.664,0.6704,0.6856
0.6488,0.6688,0.676,0.6352,0.6472,0.6264,0.6328,0.6504
0.6608,0.696,0.6776,0.6576,0.676,0.6688,0.6288,0.648
0.6512,0.6824,0.6632,0.6696,0.6848,0.628,0.6408,0.656
0.6776,0.684,0.6704,0.68,0.6688,0.6232,0.6576,0.6592
0.6368,0.6944,0.6896,0.684,0.6672,0.644,0.6736,0.6936
0.656,0.6392,0.6872,0.6712,0.6952,0.6496,0.6672,0.6672
0.668,0.6928,0.7048,0.6824,0.6696,0.6624,0.6616,0.6904
0.672,0.6592,0.6928,0.684,0.6752,0.6152,0.6888,0.6656
0.6576,0.6664,0.6776,0.68,0.6896,0.6664,0.6728,0.6688
0.6504,0.692,0.6704,0.6928,0.6856,0.6784,0.6848,0.6688
0.6624,0.6912,0.6856,0.6872,0.684,0.6936,0.6712,0.696
0.632,0.696,0.7088,0.6576,0.6816,0.6704,0.6832,0.6848
0.6632,0.704,0.7056,0.7008,0.668,0.668,0.6696,0.6736
0.6784,0.6928,0.6896,0.6872,0.7088,0.672,0.66,0.6704
0.6688,0.7088,0.7104,0.6976,0.6808,0.66,0.6752,0.6792
0.6648,0.7064,0.6928,0.68,0.6928,0.656,0.6936,0.6936
0.6928,0.6648,0.7024,0.6976,0.6928,0.6648,0.7,0.7136
0.6776,0.652,0.6864,0.6984,0.6856,0.6712,0.6968,0.7112
0.6912,0.6776,0.7096,0.692,0.708,0.6824,0.684,0.6712
0.6896,0.7,0.6808,0.716,0.708,0.6808,0.676,0.6712
0.6848,0.6784,0.6824,0.6648,0.68,0.6872,0.6768,0.696
0.672,0.696,0.6712,0.7064,0.6688,0.6888,0.7032,0.6864
0.6984,0.704,0.6928,0.712,0.6984,0.692,0.7056,0.6712
0.6864,0.7016,0.7096,0.7184,0.7056,0.6672,0.7048,0.6896
0.6992,0.7088,0.72,0.7,0.7024,0.6584,0.7016,0.7264
0.6648,0.7,0.7248,0.6688,0.7112,0.676,0.692,0.6888
0.6848,0.7032,0.7448,0.7048,0.7144,0.684,0.6888,0.7176
0.6904,0.708,0.7,0.7,0.68,0.6568,0.6848,0.6952
0.708,0.7048,0.7024,0.724,0.7056,0.664,0.6912,0.688
