0,1,2,3,4,5,6,7
0.2888,0.2888,0.2648,0.2816,0.2712,0.3008,0.2896,0.2664
0.2992,0.272,0.28,0.2768,0.264,0.2656,0.3168,0.2928
0.332,0.3496,0.296,0.3168,0.2776,0.3512,0.2392,0.2984
0.3664,0.3432,0.3352,0.3496,0.3608,0.3464,0.3736,0.3424
0.428,0.3904,0.3912,0.4056,0.34,0.3944,0.3424,0.3352
0.4024,0.364,0.42,0.3816,0.3608,0.392,0.4328,0.4528
0.448,0.392,0.4696,0.4312,0.4048,0.4392,0.3944,0.46
0.4952,0.4256,0.4952,0.464,0.3936,0.436,0.4624,0.4312
0.5072,0.5024,0.5096,0.4896,0.464,0.492,0.4968,0.4376
0.4864,0.5248,0.5016,0.476,0.5024,0.4456,0.4456,0.4552
0.4608,0.5424,0.48,0.4776,0.5208,0.52,0.4856,0.504
0.5432,0.564,0.5184,0.5,0.4296,0.4896,0.4816,0.5248
0.4944,0.5168,0.5544,0.5216,0.5688,0.4904,0.5008,0.5624
0.5328,0.532,0.5416,0.5048,0.5136,0.5224,0.4432,0.5536
0.5824,0.5336,0.5888,0.56,0.5728,0.596,0.5224,0.5768
0.5944,0.6096,0.576,0.5184,0.54,0.5208,0.4704,0.5768
0.5624,0.5984,0.5592,0.5784,0.5264,0.5736,0.5688,0.5
0.5976,0.588,0.5704,0.5528,0.5472,0.5344,0.4888,0.5912
0.592,0.5624,0.572,0.5952,0.6176,0.5616,0.528,0.6032
0.608,0.6096,0.6216,0.6056,0.6072,0.6264,0.5752,0.592
0.6152,0.6112,0.6152,0.6144,0.5976,0.624,0.5568,0.6072
0.6056,0.6312,0.6312,0.6104,0.6112,0.6112,0.5856,0.628
0.6384,0.6472,0.612,0.5672,0.6656,0.6496,0.6008,0.636
0.6152,0.6344,0.6392,0.608,0.6432,0.6376,0.5824,0.6088
0.6552,0.6568,0.6656,0.6552,0.676,0.6272,0.576,0.68
0.6552,0.6528,0.6512,0.6264,0.6992,0.6456,0.6272,0.5696
0.6512,0.6648,0.6712,0.644,0.672,0.6808,0.6072,0.6304
0.6816,0.68,0.6464,0.6544,0.6408,0.6136,0.6472,0.664
0.6792,0.6432,0.6496,0.6504,0.628,0.628,0.5928,0.676
0.6368,0.692,0.6704,0.6464,0.6816,0.6288,0.6312,0.6664
0.6896,0.6376,0.6536,0.6832,0.6784,0.688,0.6608,0.648
0.6984,0.668,0.6624,0.6664,0.6744,0.66,0.6536,0.6888
0.6848,0.6952,0.7088,0.6464,0.7048,0.6616,0.664,0.6808
0.6664,0.6632,0.6592,0.6624,0.6688,0.6752,0.6864,0.6736
0.6984,0.68,0.7152,0.6648,0.7152,0.684,0.66,0.6696
0.6968,0.6984,0.6848,0.6688,0.7168,0.6968,0.6624,0.66
0.6672,0.684,0.6736,0.6736,0.7208,0.6856,0.6624,0.696
0.7064,0.7168,0.6736,0.6976,0.6888,0.6848,0.6736,0.6944
0.7024,0.688,0.7176,0.6976,0.68,0.7136,0.664,0.7024
0.6664,0.7112,0.6864,0.6792,0.6792,0.7136,0.656,0.684
0.7048,0.6776,0.6992,0.6856,0.7024,0.7048,0.6768,0.6864
0.7192,0.6968,0.6792,0.7088,0.7064,0.704,0.6696,0.6952
0.7008,0.7176,0.7168,0.6656,0.7432,0.696,0.6952,0.72
0.7016,0.6904,0.7016,0.704,0.7192,0.6808,0.6744,0.6992
0.7056,0.704,0.6968,0.6984,0.7144,0.6888,0.6736,0.7008
0.7272,0.7216,0.7056,0.704,0.7464,0.7072,0.6776,0.7312
0.7032,0.7344,0.6936,0.716,0.6928,0.6888,0.6816,0.72
0.7312,0.7208,0.7104,0.7168,0.7232,0.7064,0.6936,0.716
0.6984,0.7136,0.7112,0.7112,0.728,0.7048,0.7032,0.7184
0.7112,0.7016,0.7096,0.7208,0.7208,0.7352,0.6736,0.7016
0.7224,0.732,0.7136,0.7256,0.7248,0.7224,0.7144,0.7048
0.7088,0.74,0.7232,0.7304,0.736,0.7176,0.6952,0.7088
0.7304,0.7384,0.7224,0.6968,0.7464,0.7328,0.708,0.7248
0.7152,0.7232,0.7048,0.7008,0.7344,0.7368,0.7128,0.728
0.7472,0.732,0.7056,0.7248,0.7344,0.7128,0.696,0.7256
0.7344,0.7264,0.7216,0.7248,0.7568,0.7344,0.6856,0.7432
0.7256,0.7296,0.7248,0.7056,0.7464,0.7168,0.7224,0.7464
0.7472,0.7416,0.7296,0.716,0.724,0.724,0.7024,0.736
0.7128,0.6904,0.7576,0.7512,0.744,0.7344,0.688,0.7504
0.7264,0.7336,0.7352,0.732,0.7376,0.748,0.7368,0.7344
0.7224,0.728,0.7208,0.7248,0.7296,0.748,0.7216,0.7312
0.7408,0.7464,0.7104,0.7312,0.732,0.7288,0.7024,0.7232
0.74,0.7368,0.7408,0.7264,0.7648,0.7032,0.7232,0.7648
0.7488,0.7056,0.7344,0.7368,0.7328,0.7456,0.7296,0.7584
0.7264,0.7352,0.7368,0.7264,0.7568,0.7336,0.7104,0.7328
0.7368,0.7488,0.748,0.7152,0.7544,0.7424,0.7112,0.7504
0.732,0.748,0.7272,0.744,0.7528,0.7536,0.7112,0.7344
0.7296,0.7224,0.748,0.7408,0.744,0.7512,0.7128,0.732
0.7344,0.7176,0.7424,0.7312,0.7536,0.7384,0.7208,0.7608
0.736,0.732,0.7384,0.7272,0.748,0.7272,0.7056,0.74
