0,1,2,3,4,5,6,7
0.3024,0.248,0.2968,0.2984,0.2784,0.2792,0.2536,0.2168
0.3504,0.3512,0.2784,0.2848,0.2936,0.3024,0.3144,0.328
0.3392,0.3208,0.3232,0.2704,0.3024,0.344,0.304,0.3096
0.3544,0.388,0.3272,0.3184,0.3776,0.3568,0.3368,0.3968
0.3808,0.4496,0.4128,0.3952,0.376,0.3832,0.3704,0.368
0.4152,0.4368,0.4192,0.3016,0.3552,0.3648,0.352,0.3888
0.4992,0.4696,0.4304,0.424,0.3768,0.4216,0.3648,0.3448
0.4912,0.5136,0.4744,0.4096,0.46,0.4736,0.4408,0.3816
0.5432,0.4664,0.464,0.4152,0.4416,0.3984,0.4088,0.4696
0.536,0.5088,0.4936,0.4712,0.4736,0.4776,0.4208,0.4112
0.5496,0.5656,0.4584,0.4336,0.4832,0.452,0.4808,0.4344
0.5456,0.5152,0.4976,0.4992,0.5368,0.5248,0.4552,0.4912
0.5312,0.5848,0.496,0.4824,0.4912,0.5216,0.4752,0.4824
0.5856,0.5568,0.5456,0.4992,0.5312,0.4464,0.5168,0.5152
0.5472,0.6056,0.504,0.5224,0.5336,0.5288,0.5216,0.5128
0.5544,0.6104,0.4544,0.5304,0.5592,0.5952,0.576,0.5288
0.5776,0.596,0.5568,0.5968,0.5736,0.5896,0.5848,0.5712
0.5856,0.6128,0.5896,0.5824,0.6112,0.5888,0.5576,0.568
0.6152,0.652,0.5968,0.556,0.5944,0.5808,0.5672,0.5744
0.6192,0.6176,0.6296,0.5592,0.6096,0.5736,0.588,0.5344
0.5624,0.6392,0.5904,0.604,0.5904,0.648,0.6088,0.5752
0.6048,0.6448,0.5792,0.5744,0.6568,0.6104,0.6328,0.6032
0.6488,0.6528,0.632,0.584,0.6288,0.612,0.6464,0.6288
0.6456,0.64,0.6648,0.6072,0.6312,0.6512,0.5992,0.6392
0.6488,0.6688,0.6512,0.6176,0.648,0.6304,0.6224,0.652
0.6472,0.6784,0.6368,0.6016,0.6688,0.6912,0.6088,0.5976
0.6752,0.6616,0.5872,0.6,0.648,0.6768,0.6088,0.6152
0.688,0.6616,0.6536,0.6336,0.6,0.66,0.6616,0.6144
0.6592,0.684,0.652,0.6488,0.6536,0.6632,0.6048,0.6264
0.656,0.6768,0.6608,0.6304,0.672,0.6696,0.6624,0.632
0.6544,0.6952,0.6672,0.6536,0.6672,0.6392,0.652,0.6224
0.6776,0.6904,0.648,0.6384,0.6336,0.6584,0.6232,0.6808
0.6592,0.6896,0.6576,0.6312,0.6712,0.6776,0.6512,0.6744
0.6576,0.6984,0.6424,0.6896,0.6728,0.6896,0.6624,0.672
0.6736,0.68,0.6696,0.6392,0.6736,0.6464,0.6784,0.6624
0.6688,0.7056,0.6936,0.6744,0.6824,0.7288,0.6984,0.6792
0.6984,0.7048,0.692,0.6544,0.68,0.6752,0.7008,0.6512
0.7064,0.6896,0.696,0.6416,0.6704,0.6984,0.6752,0.6712
0.684,0.7096,0.6784,0.6672,0.6864,0.6752,0.6992,0.692
0.7168,0.7232,0.7016,0.672,0.6872,0.6856,0.6696,0.6944
0.7112,0.7136,0.6936,0.6592,0.6832,0.704,0.6888,0.6632
0.6944,0.7248,0.7232,0.6872,0.6752,0.6688,0.6856,0.68
0.6968,0.7312,0.7048,0.6776,0.688,0.7152,0.7168,0.7192
0.7048,0.7016,0.6824,0.6864,0.7088,0.708,0.672,0.6768
0.6808,0.6936,0.72,0.6872,0.6968,0.6648,0.7056,0.6808
0.676,0.724,0.7208,0.6792,0.7072,0.7176,0.7312,0.704
0.7288,0.7168,0.712,0.6968,0.692,0.7208,0.7424,0.7104
0.7336,0.7016,0.7224,0.6896,0.7072,0.6984,0.7072,0.7136
0.7104,0.7384,0.7016,0.6704,0.7184,0.6992,0.728,0.7112
0.7184,0.7256,0.7128,0.7048,0.708,0.7208,0.7232,0.6864
0.7232,0.7336,0.7208,0.6928,0.7104,0.7176,0.7184,0.6912
0.716,0.7104,0.7136,0.6384,0.7184,0.6968,0.728,0.7176
0.6864,0.74,0.7416,0.6912,0.6984,0.7184,0.7408,0.6968
0.708,0.7176,0.7208,0.6944,0.724,0.7352,0.688,0.7168
0.7096,0.7464,0.744,0.7136,0.7384,0.7216,0.7416,0.712
0.7248,0.728,0.7248,0.7096,0.7216,0.728,0.7264,0.7192
0.7464,0.728,0.7368,0.7176,0.7136,0.7208,0.7424,0.7176
0.7296,0.7088,0.7408,0.6896,0.6776,0.7208,0.7288,0.7168
0.724,0.748,0.7296,0.6936,0.7136,0.7048,0.7,0.7288
0.724,0.7416,0.7344,0.7056,0.7248,0.7424,0.7192,0.728
0.728,0.7504,0.7448,0.7072,0.7264,0.7248,0.6952,0.708
0.7312,0.7544,0.7592,0.7008,0.7136,0.7136,0.748,0.7472
0.7248,0.7392,0.7448,0.7112,0.7264,0.7288,0.7424,0.7112
0.7,0.7248,0.7392,0.7144,0.7336,0.724,0.7296,0.7272
0.7208,0.7472,0.7536,0.7168,0.7064,0.7,0.7472,0.7064
0.6992,0.7512,0.7312,0.7064,0.7176,0.7392,0.7152,0.7352
0.74,0.7408,0.7472,0.7168,0.7184,0.7312,0.7448,0.7448
0.74,0.712,0.764,0.6992,0.7128,0.7144,0.732,0.7216
0.7336,0.7592,0.7408,0.712,0.7408,0.7248,0.7512,0.7416
0.7328,0.7496,0.7528,0.7256,0.724,0.7168,0.724,0.7056
