0,1,2,3,4,5,6,7
0.2768,0.288,0.272,0.2,0.2832,0.22,0.2512,0.3
0.3016,0.3024,0.26,0.2848,0.288,0.2952,0.2432,0.2592
0.3328,0.308,0.3,0.3552,0.3296,0.3096,0.34,0.2936
0.288,0.3448,0.3752,0.4192,0.3336,0.3248,0.3392,0.364
0.3928,0.352,0.3056,0.4048,0.3848,0.3912,0.436,0.36
0.408,0.3632,0.4224,0.4192,0.3528,0.3744,0.3656,0.3888
0.3776,0.4464,0.4232,0.4624,0.3576,0.3496,0.4416,0.3664
0.448,0.42,0.4312,0.44,0.4368,0.4024,0.3552,0.376
0.5072,0.4648,0.4648,0.3952,0.392,0.424,0.3832,0.4624
0.4384,0.4872,0.4776,0.4856,0.4936,0.4472,0.492,0.4504
0.4824,0.5272,0.516,0.5256,0.4792,0.4864,0.4512,0.4856
0.4872,0.4928,0.492,0.544,0.4856,0.5024,0.4856,0.4408
0.5264,0.5672,0.54,0.5072,0.5616,0.5256,0.4688,0.5056
0.5872,0.5176,0.4992,0.492,0.556,0.52,0.58,0.488
0.552,0.5192,0.5608,0.5328,0.4912,0.5688,0.5328,0.5104
0.584,0.584,0.5456,0.5664,0.5648,0.5976,0.5832,0.5512
0.5192,0.5856,0.528,0.5944,0.5712,0.5728,0.568,0.5928
0.596,0.5784,0.5656,0.6056,0.5176,0.5672,0.6272,0.5448
0.5896,0.5672,0.596,0.6208,0.5976,0.5928,0.5968,0.5224
0.572,0.6064,0.608,0.636,0.6216,0.5928,0.6224,0.5928
0.608,0.6136,0.6208,0.6344,0.62,0.6472,0.6256,0.6072
0.5776,0.5936,0.5856,0.632,0.5952,0.6472,0.6384,0.6472
0.64,0.604,0.5824,0.6664,0.6632,0.6136,0.5584,0.6136
0.6376,0.6272,0.6304,0.608,0.6264,0.6672,0.6136,0.5976
0.6328,0.6184,0.6272,0.688,0.6392,0.6408,0.6616,0.612
0.6216,0.6248,0.6576,0.6424,0.6224,0.6768,0.6496,0.6592
0.6296,0.6392,0.64,0.64,0.6784,0.68,0.652,0.6384
0.6048,0.6432,0.6376,0.6472,0.6464,0.7048,0.6456,0.6448
0.6528,0.6456,0.6352,0.7032,0.6288,0.7016,0.6504,0.6608
0.6528,0.6616,0.6592,0.6576,0.6632,0.6632,0.6392,0.636
0.652,0.6768,0.656,0.7016,0.6624,0.7072,0.6664,0.6744
0.6616,0.6744,0.652,0.6848,0.656,0.6832,0.6768,0.6784
0.6832,0.6608,0.6688,0.6704,0.6872,0.7008,0.68,0.652
0.684,0.6616,0.6712,0.7112,0.7104,0.712,0.6856,0.6744
0.6656,0.6624,0.6744,0.7016,0.688,0.7232,0.676,0.6832
0.6536,0.6736,0.6824,0.6752,0.6752,0.7208,0.684,0.6248
0.6856,0.6648,0.6696,0.7096,0.7256,0.6952,0.7216,0.6584
0.6872,0.6944,0.6992,0.6904,0.6872,0.7224,0.6856,0.7032
0.6792,0.7016,0.6728,0.708,0.6912,0.7176,0.692,0.6944
0.6864,0.6896,0.7072,0.7232,0.6976,0.6728,0.7008,0.6952
0.6528,0.672,0.6848,0.7216,0.6752,0.7424,0.7248,0.684
0.6912,0.696,0.68,0.7248,0.6808,0.72,0.7272,0.6896
0.7088,0.7072,0.6648,0.7432,0.696,0.7304,0.748,0.724
0.7192,0.6928,0.7104,0.6624,0.7224,0.732,0.7072,0.6776
0.692,0.6792,0.7144,0.7432,0.7064,0.732,0.7456,0.716
0.704,0.6944,0.6944,0.7112,0.6944,0.7272,0.7208,0.6864
0.6896,0.7064,0.6864,0.7456,0.7344,0.732,0.7296,0.7024
0.6656,0.6808,0.6944,0.7288,0.7112,0.7448,0.7424,0.7144
0.6888,0.7112,0.6984,0.712,0.7128,0.7472,0.7248,0.728
0.7104,0.696,0.676,0.7096,0.716,0.748,0.748,0.7024
0.6848,0.6952,0.704,0.7288,0.7104,0.74,0.7264,0.7096
0.6848,0.7,0.7016,0.7112,0.712,0.736,0.7392,0.6896
0.7024,0.7,0.6856,0.7632,0.7048,0.7504,0.76,0.736
0.7472,0.712,0.7168,0.7104,0.7368,0.752,0.7264,0.7336
0.7128,0.7136,0.7008,0.7304,0.7256,0.7504,0.7568,0.7352
0.6968,0.7144,0.7144,0.7424,0.7152,0.7432,0.7352,0.6896
0.7192,0.7136,0.7048,0.7336,0.7616,0.7544,0.7568,0.716
0.7,0.7056,0.7288,0.716,0.7192,0.7608,0.72,0.7208
0.7248,0.7144,0.7336,0.744,0.7376,0.768,0.7216,0.7288
0.7008,0.7144,0.7272,0.744,0.7416,0.7464,0.7496,0.7224
0.6984,0.7256,0.7408,0.748,0.7328,0.7728,0.7304,0.7448
0.724,0.7032,0.7064,0.7544,0.7384,0.7632,0.7448,0.7096
0.7064,0.7368,0.704,0.7312,0.7248,0.76,0.7776,0.7328
0.7296,0.728,0.7168,0.7376,0.724,0.7576,0.7616,0.7088
0.7192,0.688,0.7096,0.736,0.7176,0.7944,0.7608,0.7408
0.7312,0.7176,0.7456,0.7424,0.7224,0.7496,0.7504,0.7312
0.7248,0.7432,0.7208,0.7424,0.7472,0.752,0.7456,0.724
0.7216,0.724,0.712,0.7488,0.728,0.7688,0.764,0.7376
0.7416,0.7256,0.7504,0.7424,0.7312,0.756,0.7576,0.728
0.7168,0.7296,0.7248,0.7568,0.7288,0.7704,0.7256,0.7248
