0,1,2,3,4,5,6,7
0.3088,0.2712,0.3064,0.3096,0.288,0.2584,0.2592,0.2776
0.3456,0.3216,0.3408,0.3376,0.2776,0.2744,0.3344,0.304
0.3584,0.3472,0.3976,0.384,0.3184,0.3224,0.3184,0.3072
0.384,0.3816,0.3832,0.4,0.3688,0.3512,0.3608,0.348
0.3944,0.4096,0.4472,0.368,0.4096,0.384,0.3704,0.356
0.4456,0.4384,0.4064,0.3768,0.3976,0.4008,0.3984,0.4152
0.456,0.4504,0.436,0.4272,0.4192,0.428,0.3984,0.4
0.4784,0.3872,0.5168,0.4704,0.4256,0.452,0.3952,0.444
0.5032,0.5064,0.5416,0.4584,0.4,0.444,0.4648,0.4328
0.4744,0.5208,0.4752,0.4816,0.4848,0.4592,0.4032,0.4656
0.504,0.456,0.516,0.512,0.488,0.48,0.4648,0.5152
0.5224,0.5408,0.5056,0.5064,0.488,0.4408,0.452,0.4992
0.528,0.5416,0.5536,0.5304,0.5384,0.5128,0.4656,0.4944
0.5368,0.5176,0.5304,0.5472,0.524,0.5088,0.516,0.4552
0.5624,0.5688,0.5688,0.5056,0.5096,0.5,0.4592,0.4832
0.5704,0.5608,0.584,0.604,0.4816,0.5552,0.4928,0.5416
0.5816,0.5504,0.5672,0.5704,0.512,0.4848,0.484,0.5288
0.548,0.5544,0.6064,0.5704,0.5152,0.5504,0.5184,0.5488
0.6032,0.5112,0.5904,0.5728,0.5584,0.5104,0.524,0.5512
0.5664,0.556,0.5928,0.5648,0.552,0.5528,0.5352,0.4912
0.5952,0.5592,0.5992,0.5832,0.5856,0.5856,0.5512,0.5584
0.5976,0.5936,0.616,0.5896,0.5344,0.5744,0.5424,0.5648
0.5976,0.5448,0.636,0.6168,0.5768,0.5928,0.572,0.5696
0.6208,0.5824,0.5712,0.6064,0.6272,0.5832,0.5448,0.588
0.588,0.5936,0.636,0.6152,0.5832,0.5928,0.5624,0.6032
0.5744,0.5864,0.6352,0.5976,0.5936,0.6176,0.5432,0.5776
0.5984,0.5904,0.6528,0.6056,0.5824,0.5912,0.588,0.6
0.616,0.5976,0.652,0.6568,0.608,0.6232,0.6,0.6136
0.6464,0.612,0.6296,0.6536,0.6488,0.6416,0.5808,0.6264
0.5992,0.6144,0.6328,0.6288,0.6176,0.6368,0.552,0.576
0.6568,0.624,0.6344,0.6296,0.6496,0.628,0.5944,0.6016
0.636,0.5688,0.6584,0.6336,0.6512,0.6008,0.6296,0.6096
0.64,0.6072,0.6712,0.616,0.6256,0.6104,0.5968,0.6392
0.6648,0.6024,0.6488,0.652,0.6064,0.6576,0.6104,0.5928
0.6416,0.584,0.644,0.6016,0.6224,0.6552,0.6336,0.6208
0.632,0.612,0.6576,0.64,0.6352,0.6576,0.6216,0.6152
0.6376,0.632,0.6568,0.6536,0.6536,0.6376,0.612,0.5848
0.644,0.6256,0.6616,0.6656,0.6592,0.6656,0.6072,0.6136
0.6352,0.6288,0.6696,0.668,0.6624,0.6344,0.632,0.6368
0.652,0.6432,0.6568,0.6424,0.6568,0.6472,0.604,0.6192
0.6544,0.62,0.6608,0.6624,0.6568,0.6392,0.644,0.64
0.616,0.6304,0.6624,0.6736,0.656,0.672,0.6384,0.6424
0.6536,0.6312,0.6936,0.6488,0.7032,0.652,0.6456,0.6496
0.692,0.6296,0.6696,0.6536,0.7024,0.664,0.6104,0.6384
0.672,0.6592,0.6928,0.6512,0.6696,0.6488,0.6216,0.6296
0.6568,0.6536,0.6608,0.6272,0.6936,0.68,0.604,0.648
0.6416,0.6416,0.6864,0.668,0.6648,0.6472,0.5904,0.6528
0.6688,0.6568,0.6952,0.6872,0.6736,0.6744,0.644,0.6504
0.6736,0.6536,0.676,0.6584,0.6688,0.6736,0.6552,0.6296
0.6656,0.6304,0.68,0.6704,0.6864,0.6504,0.636,0.6296
0.6648,0.6504,0.672,0.704,0.6864,0.6712,0.6376,0.6528
0.6952,0.6376,0.6952,0.6704,0.6904,0.6728,0.64,0.66
0.6568,0.6264,0.7128,0.68,0.676,0.6728,0.6552,0.6512
0.6888,0.6344,0.6888,0.6872,0.6808,0.6784,0.672,0.6664
0.6832,0.6552,0.7072,0.6864,0.6648,0.6832,0.628,0.6536
0.684,0.6784,0.708,0.684,0.6992,0.6688,0.6464,0.6696
0.6872,0.672,0.7056,0.7032,0.6808,0.6856,0.6024,0.66
0.6808,0.6584,0.6952,0.676,0.7104,0.6856,0.676,0.664
0.6608,0.6504,0.6944,0.6784,0.6984,0.6784,0.6656,0.6728
0.6896,0.6736,0.6832,0.6656,0.6864,0.6928,0.6568,0.6536
0.696,0.668,0.7,0.676,0.7088,0.6696,0.64,0.6656
0.7008,0.6744,0.7144,0.6672,0.6904,0.6792,0.6552,0.6864
0.6904,0.6504,0.7,0.704,0.6816,0.6824,0.6344,0.6792
0.6864,0.6584,0.6952,0.6888,0.7016,0.7024,0.66,0.6824
0.684,0.6608,0.7168,0.6856,0.688,0.6888,0.6736,0.6632
0.6808,0.6752,0.7016,0.6864,0.6864,0.6592,0.6496,0.6768
0.7016,0.668,0.6976,0.6944,0.6792,0.6824,0.6376,0.6744
0.696,0.6768,0.7032,0.7024,0.7016,0.6896,0.6928,0.6712
0.6584,0.68,0.708,0.704,0.6896,0.6816,0.6712,0.6736
0.6888,0.6968,0.6944,0.7104,0.7232,0.7,0.6592,0.6976
