0,1,2,3,4,5,6,7
0.4,0.37,0.37,0.29,0.31,0.35,0.29,0.35
0.4,0.39,0.42,0.36,0.35,0.38,0.36,0.34
0.37,0.41,0.44,0.41,0.38,0.38,0.38,0.36
0.46,0.45,0.4,0.42,0.4,0.49,0.45,0.38
0.44,0.46,0.5,0.42,0.47,0.45,0.4,0.41
0.45,0.49,0.49,0.5,0.42,0.45,0.45,0.49
0.51,0.48,0.53,0.49,0.46,0.45,0.49,0.46
0.51,0.51,0.51,0.5,0.48,0.43,0.47,0.52
0.5,0.53,0.56,0.53,0.52,0.54,0.51,0.52
0.55,0.55,0.56,0.52,0.5,0.53,0.53,0.55
0.58,0.56,0.54,0.59,0.56,0.56,0.46,0.54
0.54,0.6,0.57,0.57,0.56,0.57,0.56,0.58
0.57,0.58,0.58,0.58,0.54,0.61,0.57,0.52
0.58,0.54,0.58,0.57,0.57,0.6,0.58,0.56
0.58,0.59,0.61,0.59,0.55,0.63,0.58,0.6
0.59,0.59,0.63,0.64,0.61,0.61,0.6,0.62
0.58,0.57,0.61,0.62,0.57,0.62,0.6,0.58
0.61,0.57,0.62,0.53,0.61,0.62,0.59,0.6
0.6,0.61,0.58,0.65,0.61,0.63,0.62,0.59
0.61,0.61,0.64,0.62,0.6,0.64,0.6,0.59
0.57,0.62,0.63,0.64,0.62,0.65,0.64,0.63
0.59,0.6,0.67,0.6,0.63,0.68,0.64,0.61
0.62,0.65,0.62,0.6,0.63,0.65,0.65,0.62
0.61,0.64,0.66,0.62,0.67,0.67,0.68,0.64
0.64,0.64,0.69,0.64,0.62,0.68,0.66,0.63
0.64,0.62,0.67,0.69,0.64,0.66,0.65,0.66
0.61,0.62,0.68,0.67,0.64,0.65,0.64,0.63
0.64,0.61,0.66,0.69,0.63,0.7,0.65,0.63
0.63,0.68,0.7,0.67,0.64,0.68,0.66,0.64
0.64,0.66,0.69,0.66,0.65,0.66,0.66,0.64
0.65,0.66,0.67,0.68,0.65,0.68,0.66,0.64
0.65,0.68,0.71,0.67,0.67,0.69,0.66,0.66
0.67,0.66,0.69,0.68,0.68,0.69,0.63,0.68
0.65,0.66,0.71,0.67,0.67,0.71,0.69,0.69
0.61,0.67,0.68,0.7,0.63,0.71,0.67,0.67
0.66,0.66,0.69,0.69,0.67,0.7,0.7,0.65
0.66,0.68,0.68,0.66,0.66,0.71,0.7,0.68
0.65,0.64,0.69,0.68,0.65,0.71,0.67,0.68
0.63,0.71,0.72,0.7,0.66,0.7,0.68,0.66
0.66,0.66,0.69,0.69,0.65,0.71,0.69,0.65
0.66,0.68,0.72,0.69,0.68,0.72,0.68,0.68
0.67,0.67,0.7,0.67,0.68,0.71,0.68,0.7
0.67,0.7,0.71,0.65,0.69,0.72,0.68,0.67
0.66,0.68,0.72,0.7,0.7,0.74,0.72,0.69
0.66,0.66,0.7,0.72,0.7,0.72,0.72,0.68
0.67,0.66,0.7,0.71,0.7,0.7,0.69,0.7
0.67,0.65,0.72,0.7,0.67,0.7,0.72,0.68
0.67,0.66,0.71,0.68,0.69,0.73,0.68,0.69
0.66,0.69,0.73,0.71,0.68,0.71,0.69,0.7
0.67,0.68,0.74,0.7,0.67,0.74,0.7,0.72
0.65,0.69,0.71,0.71,0.69,0.72,0.7,0.69
0.68,0.69,0.72,0.67,0.67,0.72,0.72,0.69
0.69,0.67,0.73,0.71,0.69,0.74,0.74,0.7
0.67,0.68,0.7,0.7,0.7,0.74,0.73,0.7
0.69,0.67,0.72,0.69,0.7,0.73,0.73,0.71
0.69,0.69,0.72,0.73,0.71,0.72,0.71,0.7
0.68,0.69,0.72,0.7,0.7,0.73,0.72,0.72
0.68,0.67,0.72,0.69,0.71,0.73,0.7,0.7
0.68,0.7,0.75,0.72,0.7,0.72,0.71,0.7
0.68,0.69,0.75,0.73,0.71,0.74,0.7,0.71
0.68,0.7,0.73,0.73,0.71,0.75,0.72,0.71
0.7,0.71,0.74,0.72,0.7,0.74,0.73,0.68
0.68,0.7,0.72,0.72,0.72,0.74,0.74,0.7
0.68,0.69,0.73,0.69,0.71,0.76,0.73,0.69
0.7,0.72,0.73,0.71,0.69,0.72,0.74,0.71
0.68,0.69,0.74,0.73,0.71,0.71,0.73,0.71
0.7,0.71,0.74,0.72,0.7,0.74,0.71,0.7
0.69,0.66,0.73,0.72,0.73,0.73,0.7,0.71
0.69,0.72,0.75,0.71,0.7,0.72,0.73,0.7
0.69,0.71,0.73,0.73,0.69,0.74,0.72,0.71
