0,1,2,3,4,5,6,7
0.36,0.4176,0.34,0.3232,0.3096,0.3384,0.3296,0.308
0.3168,0.3776,0.3264,0.2824,0.3064,0.3712,0.2848,0.3192
0.368,0.3696,0.3592,0.3952,0.3712,0.3552,0.3008,0.3736
0.4104,0.4424,0.376,0.4632,0.408,0.4,0.4152,0.4144
0.484,0.4496,0.4088,0.3832,0.4424,0.4776,0.4224,0.3896
0.4912,0.488,0.4544,0.5016,0.464,0.4888,0.4152,0.4808
0.5248,0.456,0.504,0.5168,0.5208,0.5192,0.468,0.4624
0.5248,0.4288,0.5184,0.5488,0.4928,0.516,0.5144,0.54
0.512,0.5352,0.56,0.548,0.5152,0.4856,0.5024,0.5536
0.5632,0.576,0.5952,0.5848,0.5384,0.5824,0.5352,0.5816
0.5224,0.5392,0.5864,0.5384,0.5648,0.5224,0.5792,0.58
0.5712,0.5504,0.6504,0.6048,0.6048,0.5648,0.5728,0.592
0.592,0.5728,0.596,0.6008,0.6128,0.624,0.5096,0.5672
0.5952,0.6176,0.5744,0.584,0.6176,0.588,0.5816,0.5864
0.6192,0.6168,0.6288,0.6208,0.5984,0.6176,0.6312,0.6344
0.6,0.6272,0.6376,0.6472,0.6272,0.6392,0.6072,0.6072
0.5832,0.6248,0.596,0.6448,0.628,0.6584,0.6272,0.6064
0.612,0.6328,0.6568,0.6424,0.6064,0.6576,0.6144,0.6184
0.5848,0.6224,0.6456,0.6504,0.6648,0.6664,0.6632,0.668
0.64,0.616,0.684,0.6344,0.696,0.6264,0.6272,0.6528
0.6312,0.6568,0.6944,0.6848,0.6552,0.6728,0.6472,0.672
0.6424,0.6512,0.688,0.6816,0.696,0.6552,0.6864,0.648
0.6248,0.6416,0.6752,0.704,0.68,0.6768,0.6512,0.6792
0.588,0.6392,0.6768,0.6368,0.6656,0.692,0.6384,0.6776
0.6856,0.6296,0.6992,0.6304,0.6712,0.6352,0.6792,0.688
0.6336,0.6512,0.6968,0.6248,0.7064,0.6376,0.6592,0.708
0.6664,0.6904,0.7104,0.6384,0.6896,0.6944,0.6712,0.6808
0.6496,0.6664,0.6832,0.6912,0.7232,0.7152,0.6696,0.6688
0.668,0.6784,0.7016,0.7216,0.7008,0.6744,0.6968,0.6512
0.6584,0.696,0.7232,0.6616,0.704,0.6984,0.676,0.7248
0.648,0.6552,0.736,0.688,0.7176,0.7128,0.6824,0.7104
0.6624,0.6496,0.724,0.6632,0.7016,0.7592,0.6816,0.7264
0.6888,0.6896,0.732,0.7128,0.704,0.7384,0.7184,0.6936
0.6752,0.7064,0.708,0.7144,0.7328,0.708,0.6864,0.7352
0.668,0.696,0.7184,0.716,0.704,0.6896,0.6744,0.7312
0.692,0.6872,0.7504,0.7272,0.7344,0.7144,0.7056,0.7448
0.6904,0.6912,0.7168,0.712,0.7312,0.7496,0.6936,0.7328
0.6816,0.6968,0.7224,0.7336,0.7264,0.7336,0.6864,0.7176
0.6776,0.7152,0.7144,0.7192,0.7216,0.7264,0.7184,0.728
0.6968,0.6984,0.7616,0.7456,0.708,0.7056,0.6968,0.7288
0.6776,0.6904,0.6904,0.7448,0.724,0.7336,0.6952,0.7288
0.6936,0.6976,0.7512,0.7408,0.7264,0.7024,0.748,0.74
0.6744,0.6704,0.7184,0.7312,0.732,0.7368,0.7208,0.7232
0.6952,0.7216,0.7448,0.74,0.7304,0.7384,0.7256,0.74
0.7088,0.7256,0.736,0.704,0.7552,0.7504,0.74,0.7432
0.7016,0.704,0.7448,0.7456,0.7184,0.7432,0.7232,0.7544
0.7048,0.7112,0.748,0.7368,0.7096,0.748,0.72,0.6968
0.6896,0.7,0.7448,0.7504,0.7456,0.7416,0.7448,0.7384
0.7016,0.6976,0.7376,0.7392,0.7432,0.7504,0.7608,0.7744
0.6888,0.7032,0.7752,0.7512,0.7248,0.7312,0.744,0.7248
0.708,0.716,0.7632,0.768,0.7472,0.76,0.7384,0.7632
0.7056,0.7272,0.7376,0.7472,0.7272,0.7584,0.752,0.7528
0.6904,0.7112,0.752,0.7424,0.7344,0.768,0.7328,0.7824
0.7008,0.728,0.776,0.7344,0.7136,0.756,0.7416,0.7624
0.7152,0.7136,0.7232,0.724,0.756,0.7304,0.7368,0.7192
0.7032,0.7128,0.76,0.7728,0.7144,0.76,0.7512,0.7512
0.7264,0.7104,0.7568,0.7376,0.736,0.7592,0.7464,0.7536
0.7184,0.7352,0.7528,0.7416,0.7416,0.7728,0.7424,0.7472
0.7032,0.7288,0.756,0.7576,0.7552,0.7976,0.7712,0.7856
0.708,0.7296,0.7744,0.7608,0.7544,0.764,0.7248,0.784
0.7048,0.744,0.7624,0.744,0.76,0.7272,0.7296,0.7704
0.7272,0.7288,0.7696,0.7568,0.7616,0.772,0.7408,0.7696
0.7368,0.7352,0.7472,0.7576,0.7576,0.7624,0.7312,0.7816
0.7064,0.7416,0.756,0.7544,0.7416,0.7776,0.7696,0.7536
0.732,0.7296,0.7432,0.7616,0.744,0.752,0.7656,0.7632
0.7224,0.7208,0.7832,0.776,0.7632,0.7496,0.7408,0.7584
0.7392,0.7208,0.7656,0.7448,0.764,0.7848,0.7304,0.7544
0.7184,0.728,0.7608,0.7584,0.7776,0.7704,0.7488,0.7576
0.7136,0.7312,0.7616,0.7464,0.764,0.776,0.7752,0.7744
0.7336,0.7376,0.7856,0.7672,0.7408,0.7912,0.7552,0.7816
