0,1,2,3,4,5,6,7
0.35,0.33,0.32,0.36,0.32,0.32,0.3,0.31
0.36,0.33,0.3,0.36,0.32,0.3,0.3,0.28
0.43,0.37,0.43,0.36,0.38,0.36,0.38,0.38
0.41,0.46,0.42,0.31,0.4,0.38,0.31,0.39
0.45,0.46,0.38,0.34,0.36,0.42,0.39,0.37
0.53,0.47,0.41,0.45,0.46,0.48,0.41,0.45
0.56,0.51,0.51,0.48,0.42,0.44,0.52,0.5
0.51,0.51,0.52,0.5,0.51,0.53,0.52,0.43
0.53,0.52,0.55,0.54,0.52,0.53,0.58,0.53
0.54,0.55,0.56,0.5,0.53,0.51,0.58,0.51
0.51,0.56,0.54,0.56,0.54,0.57,0.56,0.57
0.55,0.58,0.61,0.56,0.55,0.56,0.57,0.54
0.57,0.55,0.62,0.62,0.56,0.61,0.58,0.5
0.6,0.57,0.63,0.65,0.61,0.55,0.54,0.63
0.59,0.57,0.66,0.65,0.62,0.61,0.6,0.61
0.59,0.6,0.57,0.62,0.63,0.63,0.6,0.6
0.6,0.62,0.64,0.58,0.61,0.64,0.63,0.64
0.59,0.57,0.66,0.64,0.64,0.65,0.62,0.66
0.61,0.59,0.67,0.65,0.65,0.64,0.66,0.61
0.64,0.62,0.7,0.69,0.67,0.65,0.66,0.66
0.62,0.65,0.61,0.67,0.63,0.66,0.69,0.62
0.62,0.63,0.72,0.67,0.67,0.69,0.6,0.7
0.65,0.64,0.72,0.7,0.66,0.64,0.67,0.67
0.62,0.66,0.72,0.62,0.67,0.66,0.62,0.67
0.7,0.63,0.69,0.72,0.7,0.71,0.67,0.67
0.65,0.65,0.7,0.68,0.71,0.69,0.69,0.65
0.66,0.66,0.68,0.72,0.69,0.7,0.67,0.68
0.63,0.64,0.71,0.74,0.7,0.7,0.68,0.73
0.64,0.62,0.72,0.72,0.68,0.73,0.71,0.71
0.68,0.67,0.72,0.73,0.68,0.69,0.7,0.71
0.68,0.64,0.72,0.74,0.67,0.72,0.67,0.7
0.67,0.68,0.73,0.71,0.66,0.71,0.7,0.73
0.7,0.67,0.75,0.72,0.69,0.73,0.67,0.71
0.71,0.7,0.75,0.71,0.69,0.74,0.74,0.72
0.69,0.66,0.73,0.72,0.67,0.72,0.71,0.72
0.67,0.68,0.75,0.75,0.74,0.72,0.74,0.74
0.69,0.66,0.74,0.74,0.72,0.72,0.65,0.71
0.69,0.66,0.76,0.75,0.74,0.71,0.73,0.76
0.7,0.69,0.74,0.74,0.75,0.76,0.74,0.72
0.71,0.71,0.75,0.76,0.74,0.74,0.72,0.72
0.69,0.69,0.71,0.77,0.71,0.76,0.71,0.72
0.69,0.7,0.75,0.75,0.73,0.75,0.76,0.73
0.69,0.7,0.78,0.75,0.73,0.76,0.73,0.72
0.7,0.7,0.75,0.74,0.73,0.77,0.74,0.77
0.72,0.66,0.77,0.77,0.77,0.75,0.74,0.73
0.7,0.69,0.76,0.77,0.76,0.74,0.76,0.75
0.73,0.69,0.76,0.77,0.74,0.75,0.71,0.76
0.71,0.71,0.75,0.75,0.73,0.76,0.72,0.75
0.69,0.72,0.77,0.79,0.78,0.76,0.72,0.74
0.74,0.71,0.76,0.77,0.77,0.77,0.77,0.75
0.73,0.71,0.77,0.78,0.73,0.75,0.76,0.73
0.73,0.7,0.76,0.76,0.74,0.76,0.73,0.74
0.73,0.71,0.76,0.73,0.76,0.71,0.77,0.77
0.69,0.72,0.78,0.74,0.73,0.79,0.75,0.78
0.74,0.73,0.78,0.76,0.77,0.76,0.75,0.72
0.7,0.7,0.78,0.79,0.75,0.79,0.76,0.75
0.75,0.68,0.76,0.77,0.78,0.8,0.74,0.74
0.71,0.73,0.75,0.77,0.77,0.74,0.73,0.76
0.73,0.71,0.78,0.77,0.78,0.77,0.78,0.76
0.75,0.73,0.77,0.76,0.77,0.78,0.76,0.77
0.73,0.73,0.79,0.78,0.75,0.77,0.74,0.76
0.71,0.72,0.79,0.77,0.76,0.78,0.77,0.78
0.72,0.71,0.76,0.77,0.77,0.77,0.78,0.78
0.74,0.72,0.78,0.78,0.74,0.79,0.74,0.79
0.72,0.72,0.8,0.78,0.8,0.8,0.78,0.76
0.71,0.72,0.8,0.78,0.76,0.79,0.77,0.79
0.74,0.72,0.77,0.76,0.77,0.79,0.78,0.76
0.72,0.73,0.77,0.77,0.78,0.79,0.76,0.78
0.7,0.73,0.79,0.81,0.77,0.77,0.76,0.79
0.74,0.73,0.77,0.79,0.78,0.8,0.78,0.79
