0,1,2,3,4,5,6,7
0.3592,0.348,0.3624,0.3376,0.3248,0.3704,0.3344,0.3312
0.4016,0.4376,0.3272,0.3728,0.4112,0.3848,0.368,0.3968
0.4328,0.4376,0.368,0.424,0.4128,0.4416,0.4296,0.4304
0.4368,0.4456,0.484,0.44,0.4176,0.4216,0.3872,0.3928
0.4856,0.4368,0.4496,0.4512,0.4912,0.4736,0.4384,0.4504
0.4776,0.524,0.4896,0.5208,0.4688,0.496,0.424,0.504
0.5336,0.5048,0.5264,0.5096,0.5176,0.5152,0.4592,0.5032
0.544,0.5232,0.5088,0.5248,0.5128,0.5112,0.428,0.484
0.5256,0.5328,0.568,0.5624,0.5632,0.5224,0.512,0.5184
0.5688,0.5288,0.5152,0.5528,0.5488,0.5304,0.5152,0.5368
0.5496,0.5456,0.5752,0.5768,0.5728,0.5648,0.5696,0.5832
0.5792,0.5968,0.62,0.5744,0.5976,0.572,0.5656,0.5584
0.5928,0.5672,0.5944,0.5832,0.5968,0.5728,0.5472,0.5992
0.6008,0.5808,0.5608,0.5768,0.6016,0.5928,0.584,0.568
0.5512,0.588,0.592,0.6072,0.6544,0.608,0.6048,0.5632
0.5912,0.616,0.5976,0.6112,0.636,0.5832,0.588,0.6064
0.5872,0.624,0.5832,0.6136,0.6576,0.6232,0.6072,0.6144
0.6008,0.6288,0.6344,0.6384,0.6296,0.6104,0.6152,0.5856
0.6048,0.6064,0.5752,0.6352,0.6768,0.5992,0.6424,0.6344
0.6416,0.632,0.6312,0.6168,0.6456,0.6264,0.6312,0.6464
0.616,0.6552,0.6576,0.6496,0.6384,0.596,0.6432,0.6576
0.6224,0.6088,0.6664,0.6632,0.6568,0.6224,0.6312,0.6472
0.6184,0.6304,0.6536,0.6696,0.6272,0.6272,0.6648,0.668
0.6152,0.6232,0.6216,0.632,0.6496,0.636,0.6568,0.628
0.628,0.6264,0.6632,0.628,0.6768,0.6408,0.6488,0.6752
0.62,0.632,0.6496,0.648,0.6752,0.636,0.6336,0.6968
0.6584,0.6216,0.6904,0.652,0.68,0.6552,0.6576,0.6424
0.6392,0.6616,0.6552,0.6928,0.6416,0.6424,0.684,0.636
0.644,0.6496,0.6432,0.668,0.7112,0.6656,0.652,0.6368
0.6424,0.6312,0.6712,0.6936,0.6856,0.6256,0.6528,0.6472
0.6384,0.6696,0.68,0.652,0.6688,0.6608,0.6336,0.6616
0.6296,0.6704,0.6944,0.6832,0.696,0.6744,0.6592,0.704
0.66,0.6608,0.6904,0.6504,0.6928,0.64,0.6928,0.7088
0.6384,0.6416,0.656,0.6768,0.7176,0.64,0.6704,0.684
0.6576,0.6696,0.688,0.6856,0.7064,0.6472,0.6704,0.6824
0.6368,0.6568,0.6864,0.6712,0.7216,0.6632,0.6536,0.6952
0.6528,0.676,0.7184,0.6848,0.7176,0.6808,0.664,0.692
0.684,0.6816,0.712,0.6864,0.688,0.684,0.6544,0.7128
0.6632,0.6824,0.688,0.7048,0.7192,0.6752,0.6896,0.6776
0.6656,0.6656,0.6944,0.6928,0.7016,0.6768,0.6984,0.7056
0.6784,0.6784,0.6584,0.6976,0.6816,0.668,0.7032,0.672
0.6672,0.6768,0.6976,0.7048,0.7128,0.6656,0.6784,0.6984
0.6624,0.6664,0.6912,0.6952,0.7128,0.6776,0.7,0.712
0.6416,0.6896,0.7104,0.6832,0.7384,0.66,0.72,0.6656
0.6752,0.6736,0.6984,0.6832,0.7176,0.6944,0.68,0.6952
0.6624,0.6672,0.7048,0.6736,0.696,0.6856,0.66,0.7224
0.6728,0.668,0.7136,0.7072,0.7336,0.6984,0.6592,0.7152
0.664,0.6864,0.7248,0.708,0.7288,0.6936,0.6904,0.6992
0.6848,0.6808,0.6984,0.7216,0.7376,0.6656,0.6672,0.6984
0.6736,0.704,0.7104,0.7096,0.7264,0.6848,0.7056,0.7136
0.6848,0.684,0.7208,0.7032,0.7208,0.692,0.6976,0.712
0.664,0.6928,0.712,0.7,0.7224,0.6984,0.6856,0.7176
0.6784,0.6904,0.7184,0.7208,0.7216,0.6968,0.7032,0.6944
0.6672,0.6904,0.704,0.704,0.7368,0.7072,0.7104,0.6952
0.6632,0.6936,0.7032,0.736,0.7336,0.7024,0.6944,0.6968
0.664,0.6832,0.7192,0.708,0.7472,0.704,0.7184,0.7264
0.672,0.6976,0.7272,0.728,0.7224,0.7184,0.692,0.7144
0.6904,0.7,0.7392,0.7296,0.7232,0.7216,0.7192,0.7144
0.6992,0.7056,0.6848,0.7288,0.744,0.7048,0.7176,0.7176
0.6856,0.688,0.724,0.7072,0.7608,0.7264,0.6864,0.7008
0.6784,0.692,0.728,0.7152,0.724,0.6976,0.6992,0.7016
0.6888,0.7064,0.7216,0.7152,0.732,0.6944,0.696,0.7296
0.6968,0.6712,0.7008,0.7336,0.7288,0.7096,0.7192,0.7424
0.6768,0.7144,0.7248,0.7192,0.7328,0.6992,0.7072,0.6928
0.6808,0.6992,0.7296,0.7312,0.728,0.7152,0.7208,0.7112
0.6584,0.7032,0.728,0.7048,0.7264,0.6888,0.7,0.7328
0.7064,0.676,0.7336,0.7152,0.7176,0.724,0.7056,0.72
0.6968,0.7032,0.7352,0.7152,0.7584,0.7296,0.7328,0.7256
0.6904,0.7184,0.7016,0.708,0.7472,0.6992,0.7192,0.72
0.6648,0.7024,0.7128,0.7336,0.732,0.6976,0.7272,0.7264
